word,noun,verb,adverb,adjective,other,frequency
kang,1,0,0,0,0,1.972158
kat,1,0,0,0,0,1.439164
kath,1,0,0,0,0,0.437694
keck,1,0,0,0,0,0.534455
keg,1,0,0,0,0,0.883017
kelp,1,0,0,0,0,1.226156
kemp,1,0,0,0,0,2.837477
ken,1,0,0,0,0,10.291812
kent,1,0,0,0,0,12.644325
kept,0,0,0,1,0,160.076722
kick,1,1,0,0,0,10.638292
kiln,1,0,0,0,0,2.995244
kilt,1,0,0,0,0,0.574040
kim,1,0,0,0,0,14.074143
kin,1,0,0,0,0,12.111867
king,1,0,0,0,0,210.251432
kip,1,0,0,0,0,1.022829
kish,1,0,0,0,0,0.470900
kist,1,0,0,0,0,0.139408
kit,1,0,0,0,0,10.779230
klan,1,0,0,0,0,3.143011
kling,1,0,0,0,0,0.520749
knut,1,0,0,0,0,0.533623
kon,1,0,0,0,0,0.956936
kos,1,0,0,0,0,0.481304
kraft,1,0,0,0,0,2.242179
kral,1,0,0,0,0,0.075224
kras,1,0,0,0,0,0.060361
kris,1,0,0,0,0,1.380039
kung,1,0,0,0,0,2.682297
kyung,1,0,0,0,0,0.191114
lab,1,0,0,0,0,16.915333
lac,1,0,0,0,0,3.129190
lack,1,1,0,0,0,136.601624
lad,1,0,0,0,0,9.522991
lag,1,0,0,0,0,9.981017
lak,1,0,0,0,0,0.575322
lam,1,0,0,0,0,3.195556
lamp,1,0,0,0,0,19.940917
lan,1,0,0,0,0,5.771613
land,1,0,0,0,0,328.001280
lank,0,0,0,1,0,0.514355
lant,1,0,0,0,0,0.201921
lap,1,0,0,0,0,13.135271
lash,1,1,0,0,0,2.817245
lask,1,0,0,0,0,0.103622
last,0,0,0,1,0,458.293502
lath,1,0,0,0,0,0.748551
lax,0,0,0,1,0,2.803866
leck,1,0,0,0,0,0.057572
led,1,0,0,0,0,165.091588
left,0,0,0,1,0,514.854570
leg,1,0,0,0,0,41.838997
lek,1,0,0,0,0,0.334880
len,1,0,0,0,0,2.095476
lend,0,1,0,0,0,14.013735
lent,1,0,0,0,0,10.176707
les,1,0,0,0,0,64.517397
lest,0,0,1,0,0,3.871299
let,0,1,0,0,0,402.139369
lev,1,0,0,0,0,3.099526
lex,1,0,0,0,0,2.495961
lich,1,0,0,0,0,0.181814
lick,1,1,0,0,0,3.264915
lid,1,0,0,0,0,10.779456
lift,1,1,0,0,0,26.117600
lilt,1,0,0,0,0,0.518683
lim,1,0,0,0,0,2.428413
limp,0,0,0,1,0,4.456155
lin,1,0,0,0,0,8.353995
ling,1,0,0,0,0,4.087967
link,1,1,0,0,0,58.700798
links,1,0,0,0,0,38.170147
lint,1,0,0,0,0,1.268616
lip,1,0,0,0,0,18.172039
lis,1,0,0,0,0,1.588874
lish,1,0,0,1,0,0.273960
lisk,1,0,0,0,0,0.053881
lisp,1,0,0,0,0,1.734793
list,1,0,0,0,0,165.249300
lit,1,0,0,0,0,23.075296
liv,0,0,0,1,0,1.478882
liz,1,0,0,0,0,4.026098
lob,1,0,0,0,0,1.062197
lock,1,1,0,0,0,21.316441
lop,0,1,0,0,0,0.903699
losh,1,0,0,0,0,0.049274
lot,1,0,0,0,0,143.168202
lots,1,0,0,0,0,27.319041
lox,1,0,0,0,0,0.375297
luck,1,0,0,0,0,25.904079
lug,1,1,0,0,0,1.055538
lum,1,0,0,0,0,0.652691
lump,1,0,0,0,0,7.344506
lung,1,0,0,0,0,35.596087
lunt,1,0,0,0,0,0.474055
lush,0,0,0,1,0,3.316737
lusk,1,0,0,0,0,0.276158
lust,1,0,0,0,0,8.512678
lux,1,0,0,0,0,1.302895
mab,1,0,0,0,0,1.341836
mac,1,0,0,0,0,14.663512
mack,1,0,0,0,0,4.235719
mad,0,0,0,1,0,27.415593
mag,1,0,0,0,0,4.313080
mal,1,0,0,1,0,4.576947
man,1,0,0,0,0,844.482119
mang,1,0,0,0,0,0.539319
mank,1,0,0,0,0,0.035211
map,1,0,0,0,0,67.353965
mash,1,0,0,0,0,1.697888
mask,1,0,0,0,0,22.094796
mast,1,0,0,0,0,8.168669
mat,1,0,0,0,0,11.477124
math,1,0,0,0,0,14.007955
mats,1,0,0,0,0,4.074875
max,1,0,0,0,0,29.522054
meg,1,0,0,0,0,4.109574
mel,1,0,0,0,0,3.583370
meld,1,1,0,0,0,0.466371
melt,1,1,0,0,0,11.011639
men,1,0,0,0,0,611.283548
mend,0,1,0,0,0,2.723980
meng,1,0,0,0,0,1.276223
mer,1,0,0,0,0,3.290251
mesh,1,0,0,0,0,10.191896
met,0,1,0,0,0,144.008301
mib,1,0,0,0,0,0.526817
mick,1,0,0,0,0,2.330588
mid,1,0,0,1,0,65.644780
midst,1,0,0,0,0,20.535352
mig,1,0,0,0,0,1.248781
mil,1,0,0,0,0,5.926754
milch,0,0,0,1,0,0.642381
milk,1,0,0,0,0,61.102158
milt,1,0,0,0,0,0.684491
mim,1,0,0,0,0,0.521309
min,1,0,0,0,0,40.857059
ming,1,0,0,0,0,5.895140
mink,1,0,0,0,0,1.844133
mint,1,0,0,0,0,4.992847
mir,1,0,0,0,0,4.679939
mist,1,0,0,0,0,9.423883
mix,1,1,0,0,0,32.096783
mob,1,0,0,0,0,10.501627
mock,0,1,0,1,0,7.168644
mont,1,0,0,0,0,2.807121
mop,1,1,0,0,0,1.908387
much,0,0,1,0,0,927.123438
muck,1,0,0,0,0,1.642453
mud,1,0,0,0,0,21.660994
